ID	Term	N	K	n	k	pval
GO:0042538	hyperosmotic salinity response	23520	160	194	9	6.67e-06
GO:0009414	response to water deprivation	23520	335	194	20	5.38e-12
GO:0009409	response to cold	23520	408	194	31	4.72e-21
GO:0009737	response to abscisic acid	23520	447	194	22	1.93e-11
GO:0006970	response to osmotic stress	23520	140	194	9	2.27e-06
GO:0006972	hyperosmotic response	23520	95	194	4	0.00682
GO:0009651	response to salt stress	23520	643	194	20	3.17e-07
GO:0006950	response to stress	23520	74	194	7	2.45e-06
GO:0050832	defense response to fungus	23520	315	194	7	0.0112
GO:0046686	response to cadmium ion	23520	469	194	12	0.000399
GO:0006833	water transport	23520	135	194	5	0.00439
GO:0007030	Golgi organization	23520	178	194	6	0.00296
GO:0009631	cold acclimation	23520	33	194	7	8.09e-09
GO:0006096	glycolytic process	23520	210	194	6	0.00624
GO:0010286	heat acclimation	23520	79	194	9	1.73e-08
GO:0009415	response to water	23520	10	194	3	6.26e-05
GO:0009266	response to temperature stimulus	23520	100	194	4	0.00806
GO:0019761	glucosinolate biosynthetic process	23520	164	194	2	0.239
GO:0008150	biological	23520	7854	194	29	2.87e-09
GO:0009735	response to cytokinin	23520	198	194	2	0.263
GO:0006810	transport	23520	421	194	6	0.0754
GO:0009408	response to heat	23520	237	194	2	0.273
GO:0009416	response to light stimulus	23520	173	194	1	0.344
GO:0010029	regulation of seed germination	23520	44	194	3	0.00524
GO:0009269	response to desiccation	23520	40	194	7	3.34e-08
GO:0009644	response to high light intensity	23520	210	194	4	0.066
GO:0009793	embryo development ending in seed dormancy	23520	487	194	3	0.196
GO:0009611	response to wounding	23520	325	194	4	0.149
GO:0010150	leaf senescence	23520	67	194	2	0.0878
GO:0006952	defense response	23520	490	194	3	0.195
GO:0009813	flavonoid biosynthetic process	23520	67	194	3	0.0157
GO:0009744	response to sucrose	23520	206	194	4	0.0631
GO:0008152	metabolic process	23520	855	194	12	0.0262
GO:0010224	response to UV-B	23520	99	194	3	0.0396
GO:0009738	abscisic acid-activated signaling pathway	23520	212	194	3	0.156
GO:0007165	signal transduction	23520	643	194	6	0.157
GO:0045893	positive regulation of transcription, DNA-templated	23520	456	194	3	0.208
GO:0010252	auxin homeostasis	23520	22	194	2	0.0133
GO:0009733	response to auxin	23520	368	194	3	0.227
GO:0017148	negative regulation of translation	23520	8	194	1	0.0623
GO:0008654	phospholipid biosynthetic process	23520	22	194	1	0.153
GO:0055114	oxidation-reduction process	23520	1400	194	14	0.085
GO:0071486	cellular response to high light intensity	23520	7	194	1	0.055
GO:0010117	photoprotection	23520	6	194	1	0.0475
GO:0009718	anthocyanin-containing compound biosynthetic process	23520	48	194	2	0.0523
GO:0010380	regulation of chlorophyll biosynthetic process	23520	14	194	1	0.104
GO:0071483	cellular response to blue light	23520	5	194	1	0.0399
GO:0010030	positive regulation of seed germination	23520	15	194	1	0.11
GO:0009411	response to UV	23520	35	194	1	0.218
GO:0071492	cellular response to UV-A	23520	4	194	1	0.0322
GO:0034605	cellular response to heat	23520	15	194	1	0.11
GO:0009908	flower development	23520	90	194	2	0.132
GO:0010507	negative regulation of autophagy	23520	3	194	1	0.0243
