ID	Term	N	K	n	k	pval
GO:0009507	chloroplast	25275	3762	194	25	0.0621
GO:0009535	chloroplast thylakoid membrane	25275	315	194	2	0.262
GO:0009570	chloroplast stroma	25275	589	194	5	0.174
GO:0005829	cytosol	25275	1494	194	27	1.96e-05
GO:0005634	nucleus	25275	9360	194	67	0.0464
GO:0046658	anchored component of plasma membrane	25275	69	194	1	0.314
GO:0048046	apoplast	25275	378	194	6	0.0449
GO:0031225	anchored component of membrane	25275	238	194	1	0.294
GO:0005886	plasma membrane	25275	3173	194	46	7.29e-06
GO:0005773	vacuole	25275	535	194	8	0.0322
GO:0009506	plasmodesma	25275	852	194	17	0.000218
GO:0005739	mitochondrion	25275	3518	194	19	0.021
GO:0005794	Golgi apparatus	25275	888	194	9	0.0972
GO:0005783	endoplasmic reticulum	25275	528	194	7	0.0615
GO:0005774	vacuolar membrane	25275	432	194	6	0.0667
GO:0005576	extracellular region	25275	2583	194	17	0.0799
GO:0016020	membrane	25275	1996	194	18	0.0773
GO:0005737	cytoplasm	25275	3508	194	47	3.97e-05
GO:0015629	actin cytoskeleton	25275	35	194	1	0.207
GO:0009505	plant-type cell wall	25275	266	194	7	0.00351
GO:0005618	cell wall	25275	468	194	8	0.0181
GO:0005615	extracellular space	25275	28	194	1	0.175
GO:0009941	chloroplast envelope	25275	536	194	4	0.198
GO:0005789	endoplasmic reticulum membrane	25275	65	194	2	0.0754
GO:0071782	endoplasmic reticulum tubular network	25275	5	194	2	0.000573
GO:0071458	integral component of cytoplasmic side of endoplasmic reticulum membrane	25275	5	194	1	0.0372
GO:0043231	intracellular membrane-bounded organelle	25275	32	194	2	0.0231
GO:0005575	cellular	25275	1224	194	3	0.0102
GO:0005743	mitochondrial inner membrane	25275	94	194	3	0.0299
GO:0031966	mitochondrial membrane	25275	29	194	1	0.18
GO:0009532	plastid stroma	25275	20	194	1	0.133
GO:0016021	integral component of membrane	25275	943	194	9	0.11
GO:0005730	nucleolus	25275	291	194	2	0.27
GO:0005681	spliceosomal complex	25275	22	194	1	0.144
GO:0016607	nuclear speck	25275	25	194	1	0.16
GO:0005795	Golgi stack	25275	18	194	1	0.121
GO:0022626	cytosolic ribosome	25275	193	194	2	0.252
GO:0030136	clathrin-coated vesicle	25275	15	194	1	0.103
GO:0005635	nuclear envelope	25275	50	194	1	0.264
GO:0000815	ESCRT III complex	25275	9	194	1	0.065
GO:0005771	multivesicular body	25275	7	194	1	0.0513
GO:0019031	viral envelope	25275	9	194	1	0.065
GO:0009536	plastid	25275	285	194	1	0.245
GO:0090406	pollen tube	25275	42	194	1	0.235
GO:0005874	microtubule	25275	48	194	1	0.257
GO:0045298	tubulin complex	25275	13	194	1	0.091
GO:0000930	gamma-tubulin complex	25275	13	194	1	0.091
GO:0005622	intracellular	25275	499	194	2	0.158
GO:0005768	endosome	25275	232	194	3	0.16
GO:0005802	trans-Golgi network	25275	221	194	3	0.15
GO:0005945	6-phosphofructokinase complex	25275	7	194	1	0.0513
GO:0031012	extracellular matrix	25275	16	194	1	0.109
GO:0030173	integral component of Golgi membrane	25275	5	194	1	0.0372
GO:0000786	nucleosome	25275	62	194	1	0.298
GO:0000785	chromatin	25275	15	194	1	0.103
