ID	Term	N	K	n	k	pval
PTHR10543:SF26	SUBFAMILY NOT NAMED	16968	2	194	1	0.0226
PTHR31459	FAMILY NOT NAMED	16968	3	194	1	0.0335
PTHR11614	PHOSPHOLIPASE-RELATED	16968	16	194	1	0.154
PTHR11926	GLUCOSYL/GLUCURONOSYL TRANSFERASES	16968	111	194	4	0.0296
PTHR31413	FAMILY NOT NAMED	16968	5	194	1	0.0546
PTHR31901	FAMILY NOT NAMED	16968	20	194	2	0.0201
PTHR10414	ETHANOLAMINEPHOSPHOTRANSFERASE	16968	2	194	1	0.0226
PTHR22870	REGULATOR OF CHROMOSOME CONDENSATION	16968	29	194	1	0.241
PTHR21461	UNCHARACTERIZED	16968	10	194	1	0.103
PTHR14154	UPF0041 BRAIN PROTEIN 44-RELATED	16968	12	194	1	0.121
PTHR11461	SERINE PROTEASE INHIBITOR, SERPIN	16968	12	194	1	0.121
PTHR10052	60S RIBOSOMAL PROTEIN L18A	16968	10	194	1	0.103
PTHR23241	LATE EMBRYOGENESIS ABUNDANT (PLANTS) LEA-RELATED	16968	14	194	1	0.138
PTHR11945	MADS BOX PROTEIN	16968	111	194	1	0.359
PTHR16223	FAMILY NOT NAMED	16968	34	194	1	0.266
PTHR10994	RETICULON	16968	25	194	1	0.217
PTHR31775	FAMILY NOT NAMED	16968	6	194	1	0.0648
PTHR10286	INORGANIC PYROPHOSPHATASE	16968	6	194	1	0.0648
PTHR23160	MYOSIN HEAVY CHAIN-RELATED	16968	9	194	1	0.0939
PTHR31268	FAMILY NOT NAMED	16968	5	194	1	0.0546
PTHR24089	FAMILY NOT NAMED	16968	63	194	3	0.0296
PTHR10788	TREHALOSE-6-PHOSPHATE SYNTHASE	16968	20	194	2	0.0201
PTHR10593	SERINE/THREONINE-PROTEIN KINASE RIO	16968	26	194	2	0.0322
PTHR13018	PROBABLE MEMBRANE PROTEIN DUF221-RELATED	16968	15	194	2	0.0118
PTHR12174	SIGNAL PEPTIDE PEPTIDASE	16968	6	194	1	0.0648
PTHR31964	FAMILY NOT NAMED	16968	22	194	2	0.0239
PTHR11817	PYRUVATE KINASE	16968	14	194	1	0.138
PTHR11695	ALCOHOL DEHYDROGENASE RELATED	16968	40	194	1	0.293
PTHR21347	CLEFT LIP AND PALATE ASSOCIATED TRANSMEMBRANE PROTEIN-RELATED	16968	2	194	1	0.0226
PTHR31719	FAMILY NOT NAMED	16968	24	194	1	0.211
PTHR31065	FAMILY NOT NAMED	16968	11	194	1	0.112
PTHR31662	FAMILY NOT NAMED	16968	20	194	1	0.184
PTHR11009	DER1-LIKE PROTEIN, DERLIN	16968	2	194	1	0.0226
PTHR24012	FAMILY NOT NAMED	16968	142	194	2	0.263
PTHR24347	SERINE/THREONINE-PROTEIN KINASE	16968	19	194	2	0.0183
PTHR31682	FAMILY NOT NAMED	16968	5	194	2	0.00126
PTHR22814	COPPER TRANSPORT PROTEIN ATOX1-RELATED	16968	74	194	1	0.366
PTHR18896:SF11	PHOPHOLIPASE D ALPHA	16968	3	194	1	0.0335
PTHR18896	PHOSPHOLIPASE D	16968	12	194	1	0.121
PTHR23291	BAX INHIBITOR-RELATED	16968	8	194	1	0.0844
