kbase_id	biomart_id	Genome_name
PhalliiHAL_v2.1	496	Panicum hallii
Bdistachyon_v3.1	314	Brachypodium distachyon
Ptrichocarpa_v4.1	533	Populus trichocarpa
Boleraceacapitata_v1.0	446	Brassica oleracea var. capitata
Egrandis_v1.1	201	Eucalyptus grandis
Creinhardtii_v5.5	281	Chlamydomonas reinhardtii
Osativa_v7.0	204	Oryza sativa
MpusillaCCMP1545_v3.0	228	Micromonas pusilla CCMP1545
Vunguiculata_v1.1	469	Vigna unguiculata
Oeuropaea_v1.0	451	Olea europaea
Zmarina_v2.2	324	Zostera marina
Mesculenta_v6.1	305	Manihot esculenta
Othomaeum_v1.0	386	Oropetium thomaeum
Sbicolor_v3.1	313	Sorghum bicolor
Slycopersicum_iTAGv2.3	225	Solanum lycopersicum
CsubellipsoideaC169_v2.0	227	Coccomyxa subellipsoidea C-169
Dsalina_v1.0	325	Dunaliella salina
Bstricta_v1.2	278	Boechera stricta
Phallii_v3.1	495	Panicum hallii
Taestivum_v2.2	296	Triticum aestivum
Ahypogaea_v1.0	530	Arachis hypogaea
Mguttatus_v2.0	256	Mimulus guttatus
Smoellendorffii_v1.0	91	Selaginella moellendorffii
Bdistachyon_v2.1	283	Brachypodium distachyon
MspRCC299_v3.0	229	Micromonas commoda
Ahypochondriacus_v1.0	315	Amaranthus hypochondriacus
Macuminata_v1	304	Musa acuminata
Rcommunis_v0.1	119	Ricinus communis
Dalata_v1.1	504	Dioscorea alata
Hvulgare_r1	462	Hordeum vulgare
Stuberosum_v3.4	206	Solanum tuberosum
Czofingiensis_v5.2.3.2	461	Chromochloris zofingiensis
Slycopersicum_ITAG2.4	390	Solanum lycopersicum
Mesculenta_v4.1	147	Manihot esculenta
Csinensis_v1.1	154	Citrus sinensis
Stuberosum_v4.03	448	Solanum tuberosum
Cpapaya_ASGPBv0.4	113	Carica papaya
Carietinum_v1.0	492	Cicer arietinum
Gmax_Wm82.a4.v1	508	Glycine max
Zmays_PH207_v1.1	443	Zea mays
Esalsugineum_v1.0	173	Eutrema salsugineum
Creinhardtii_v5.6	281	Chlamydomonas reinhardtii
Hannuus_r1.2	494	Helianthus annuus
Aofficinalis_V1.1	498	Asparagus officinalis
Spolyrhiza_v2	290	Spirodela polyrhiza
Zmays_Ensembl-18	284	Zea mays
Mtruncatula_Mt4.0v1	285	Medicago truncatula
Cquinoa_v1.0	392	Chenopodium quinoa
Zmays_Ensembl-18_2010-01-MaizeSequence	284	Zea mays
Ptrichocarpa_v3.1	444	Populus trichocarpa
Ptrichocarpa_v3.0	210	Populus trichocarpa
Ahypochondriacus_v2.1	459	Amaranthus hypochondriacus
Gmax_Wm82.a2.v1	275	Glycine max
Acomosus_v3	321	Ananas comosus
Olucimarinus_v2.0	231	Ostreococcus lucimarinus
Lusitatissimum_v1.0	200	Linum usitatissimum
Kfedtschenkoi_v1.1	382	Kalanchoe fedtschenkoi
Sitalica_v2.1	164	Setaria italica
Sitalica_v2.2	312	Setaria italica
Acoerulea_v3.1	322	Aquilegia coerulea
Dcarota_v2.0	388	Daucus carota
Zmays_RefGen_V4	493	Zea mays
Slycopersicum_ITAG3.2	514	Solanum lycopersicum
Sbicolor_v3.1.1	454	Sorghum bicolor
Vvinifera_v2.1	457	Vitis vinifera
Cclementina_v1.0	182	Citrus clementina
Pvulgaris_v1.0	218	Phaseolus vulgaris
Athaliana_Araport11	447	Arabidopsis thaliana
Cgrandiflora_v1.1	266	Capsella grandiflora
Ppersica_v2.1	298	Prunus persica
Alyrata_v1.0	107	Arabidopsis lyrata
Tcacao_v1.1	233	Theobroma cacao
Ppersica_v1.0	139	Prunus persica
Csativus_v1.0	122	Cucumis sativus
Egrandis_v2.0	297	Eucalyptus grandis
Mdomestica_v1.0	196	Malus domestica
Pumbilicalis_v1.5	456	Porphyra umbilicalis
Mpolymorpha_v3.1	320	Marchantia polymorpha
Ckanehirae_v3	531	Cinnamomum kanehirae
Vcarteri_v2.0	199	Volvox carteri
Vcarteri_v2.1	317	Volvox carteri
Ppatens_v3.3	318	Physcomitrella patens
Ppatens_v3.0	251	Physcomitrella patens
Fvesca_v1.1	226	Fragaria vesca
Lsativa_v5	467	Lactuca sativa
Sbicolor_v2.1	255	Sorghum bicolor
Graimondii_v2.1	221	Gossypium raimondii
Vvinifera_Genoscope.12X	145	Vitis vinifera
Atrichopoda_v1.0	291	Amborella trichopoda
Athaliana_TAIR10	167	Arabidopsis thaliana
Alyrata_v2.1	384	Arabidopsis lyrata
Crubella_v1.0	183	Capsella rubella
